"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2011","2013","2015","2017","2019"
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200351,"Marechal Thaumaturgo",3.1,3.5,NA,4.5,4.2,4.5
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200385,"Plácido de Castro",3.8,3.9,4.8,4.5,5.2,4.9
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200393,"Porto Walter",3.2,3.2,3.7,4.1,3.7,4.2
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200401,"Rio Branco",4.9,4.9,5.5,5.8,6.4,6.5
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200427,"Rodrigues Alves",3.7,3.7,4.8,5.4,5.8,5.5
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200435,"Santa Rosa do Purus",3.1,3.2,3.8,4.1,3.4,3.7
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200450,"Senador Guiomard",4.7,4.8,5.3,5.5,6.4,6.3
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200500,"Sena Madureira",3.9,4.4,4.8,5.1,5.7,5.7
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200609,"Tarauacá",3.3,4,4.8,4.9,5.2,5
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200708,"Xapuri",3.8,4.3,4.6,5.2,5.5,5.9
"Educação","TX_INEP_IDEB_AI_MUN","Acre",1200807,"Porto Acre",3.7,3.8,4.1,4.7,5,NA
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1300029,"Alvarães",3.8,3.7,4.2,3.6,3.7,4
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1300060,"Amaturá",3.7,3.9,3.4,4,4,4.4
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1300086,"Anamã",4,4.1,4.2,4.7,5,5.5
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1300102,"Anori",4.1,4.4,4.2,4.8,5.3,5.2
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1300144,"Apuí",4.4,4.9,5.6,NA,5.4,5.2
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1300201,"Atalaia do Norte",2.8,2.6,3.8,4.7,4.5,4.2
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1300300,"Autazes",3.4,3.9,4,4.5,4.8,4.9
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1300409,"Barcelos",4.1,3.9,4.8,4.2,4.7,4.9
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1300508,"Barreirinha",4,4.3,4.2,4.4,4.6,4.7
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1300607,"Benjamin Constant",3.1,3.7,3.6,4.5,4.4,4.3
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1300631,"Beruri",3.6,4.8,4.9,5.3,4.6,4
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1300680,"Boa Vista do Ramos",3.3,3.9,4.2,5.1,4.6,4.5
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1300706,"Boca do Acre",4.3,4.8,5.2,6.1,6.1,6
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1300805,"Borba",3.6,3.8,4.2,4.4,5.1,4.4
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1300839,"Caapiranga",3.8,3.5,3.4,3.6,4.7,4.1
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1300904,"Canutama",3.2,3.1,3.1,3.6,3.8,3.6
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1301001,"Carauari",3.6,5,4.8,4.9,4.8,5
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1301100,"Careiro",3.5,4.2,4.1,4.3,4.8,4.6
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1301159,"Careiro da Várzea",3,NA,3.8,4.1,4.3,4.2
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1301209,"Coari",3.6,4.2,4.3,4.2,4.6,4.6
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1301308,"Codajás",3.9,3.8,4.2,4.4,4.6,4.6
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1301407,"Eirunepé",4.2,4.5,5,4.9,4.5,4.5
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1301506,"Envira",3.2,4.2,4.2,4.9,3.7,3.3
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1301605,"Fonte Boa",4.8,3.2,2.8,3.5,3.1,3.6
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1301654,"Guajará",2.8,3.4,3.7,4.2,4.1,3.9
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1301704,"Humaitá",3.8,4.4,4.7,4.6,4.5,4.4
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1301803,"Ipixuna",3.1,3.7,3.1,3.8,3.7,3.8
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1301852,"Iranduba",3.4,3.7,3.9,4.4,4.5,5
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1301902,"Itacoatiara",3.5,4.2,4.7,5,5.7,5.3
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1301951,"Itamarati",5.2,5.1,3.5,3.5,4.4,3.3
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1302009,"Itapiranga",4.3,4.4,4.9,5,5.2,5.2
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1302108,"Japurá",3.8,3.8,3.1,3.8,4.9,3.5
