AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2016,2017,2018,2019
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1301001,Carauari,79.2,79.2,82.4,92.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1301100,Careiro,65.3,73.2,70.8,73.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1301159,Careiro da Várzea,61,58.3,70.2,74.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1301209,Coari,59.7,58.1,62,61.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1301308,Codajás,55.1,55.1,54.7,55.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1301407,Eirunepé,75.3,79.3,80.2,83.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1301506,Envira,50.4,53.7,66.3,74.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1301605,Fonte Boa,67.8,76.4,77.9,81.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1301654,Guajará,73.5,69.2,79.6,79.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1301704,Humaitá,74.6,75.3,85.9,93.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1301803,Ipixuna,37.9,31.2,31.7,35.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1301852,Iranduba,94.2,92.9,93.2,85.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1301902,Itacoatiara,81.9,82.4,87.3,91.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1301951,Itamarati,69.1,96.1,106.2,117
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1302009,Itapiranga,100,94.3,103.9,105.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1302108,Japurá,94.2,92.8,104.4,129.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1302207,Juruá,59.6,58.9,67.1,69.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1302306,Jutaí,87,91.5,101.9,110.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1302405,Lábrea,42.3,42.2,47.7,56.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1302504,Manacapuru,75,78,85,88
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1302553,Manaquiri,51.1,56,51.1,48.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1302603,Manaus,82.6,84.5,87.4,89.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1302702,Manicoré,73.3,74.8,77.5,82.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1302801,Maraã,69.1,69,72.1,71.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1302900,Maués,62.8,66,67.4,65.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1303007,Nhamundá,71.1,72.7,74,78.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1303106,Nova Olinda do Norte,63.4,66.9,79.6,81.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1303205,Novo Airão,68.7,73.3,74.6,80.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1303304,Novo Aripuanã,63,62.1,59,62
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1303403,Parintins,76.6,77.1,77.6,81.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1303502,Pauini,37.8,41.3,42.8,45.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1303536,Presidente Figueiredo,95.7,94.5,94.4,97.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1303569,Rio Preto da Eva,66.5,69.7,77.6,73.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1303601,Santa Isabel do Rio Negro,37.8,43.6,46.5,43.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1303700,Santo Antônio do Içá,81.8,90.4,98.7,109.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1303809,São Gabriel da Cachoeira,109.3,114.3,122.5,117.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1303908,São Paulo de Olivença,66.1,80.4,83.4,91.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1303957,São Sebastião do Uatumã,56.1,47.8,47,52.1
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1304005,Silves,84.2,97.1,97.7,101.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1304062,Tabatinga,79.1,81.7,80.1,87.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1304104,Tapauá,45.9,80.1,81.2,82.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1304203,Tefé,77.5,78.4,88.1,88.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1304237,Tonantins,74,77.8,92.4,106.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1304260,Uarini,80.6,77.4,70.4,68.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1304302,Urucará,57.4,56,58.3,59
Educação,TX_INEP_PREESCOLA_4_5_MUN,Amazonas,1304401,Urucurituba,56.3,69.8,73.9,83
Educação,TX_INEP_PREESCOLA_4_5_MUN,Roraima,1400027,Amajari,51.9,56.4,54.6,58.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Roraima,1400050,Alto Alegre,45.7,44.9,44,41.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Roraima,1400100,Boa Vista,95.3,102.9,103.7,102.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Roraima,1400159,Bonfim,87.5,94.4,108,114.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Roraima,1400175,Cantá,85.4,91.5,92.6,102.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Roraima,1400209,Caracaraí,81.7,81.4,96.3,110.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Roraima,1400233,Caroebe,71.2,64.8,78.7,94.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Roraima,1400282,Iracema,64.1,58.6,60.8,59.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Roraima,1400308,Mucajaí,85.6,90.5,87.1,91.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Roraima,1400407,Normandia,90.7,109.6,104.5,111.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Roraima,1400456,Pacaraima,91.8,95.6,85.9,107.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Roraima,1400472,Rorainópolis,92.8,105.2,110.7,127.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Roraima,1400506,São João da Baliza,56.5,70.1,76.7,97.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Roraima,1400605,São Luiz,82.1,93.4,96.6,107.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Roraima,1400704,Uiramutã,84.5,115.8,123.7,129
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1500107,Abaetetuba,93.7,102.8,105.6,108.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1500131,Abel Figueiredo,81.9,86.4,86.8,81
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1500206,Acará,98.5,100,96.5,99.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1500305,Afuá,76.7,112,102.1,85.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1500347,Água Azul do Norte,34.4,44.7,44.1,49.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1500404,Alenquer,81.7,86.3,79.3,81.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1500503,Almeirim,77,93.8,84.1,79.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1500602,Altamira,97.8,97.3,95.3,103
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1500701,Anajás,71.8,81.8,79.1,87.1
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1500800,Ananindeua,52.4,52.7,56.1,60.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1500859,Anapu,89,99.7,104.2,108.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1500909,Augusto Corrêa,90,82.9,81.9,83.6
