"","AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"50","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101708,"Urupá",11448.63,11373.05,12290.34,14470.6,15400.03,16092.38,15258.23,15944.76,15560.08,15024.36,15946.06
"51","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101757,"Vale do Anari",12629.79,12594.2,13311.19,14433.91,14985.32,15290.77,14119.74,14420.82,13762.49,13006.56,13523.81
"52","Economia","TX_IBGE_PIB_PC_MUN","Rondônia",1101807,"Vale do Paraíso",11800.18,11719.59,12684.68,15398.36,16455.51,17269.06,16452.63,17266.31,16921.51,16407.54,17488.26
"53","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200013,"Acrelândia",14990.96,15293.03,15357.3,16082.58,16454.9,17160.5,17102.3,17514.77,16933.48,16230.62,15984.06
"54","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200054,"Assis Brasil",12893.99,13174.92,13264.85,13267.61,13567.56,14141.31,14079.87,14411.11,13925.18,13341.25,13132.12
"55","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200104,"Brasiléia",15302.21,15617.54,15691.82,15919.16,16267.03,16943.58,16847.13,17229,16635.29,15924.88,15663.68
"56","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200138,"Bujari",18195.23,18735.91,19136.71,16409.75,16799.03,17526.68,17486.32,17918.4,17335.78,16625,16380.17
"57","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200179,"Capixaba",15225.39,15342.57,15072.8,17066.23,17229.05,17747.26,17288.3,17457.21,16657.98,15771.76,15354.35
"58","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200203,"Cruzeiro do Sul",13096.48,13457.22,13690.45,14403.73,14893.91,15686.77,15933.11,16516.74,16155.92,15658.79,15585.7
"59","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200252,"Epitaciolândia",24403.46,24928.36,25089.09,25350.24,25930.78,27033.18,26928.32,27570.16,26646.75,25534.43,25139.04
