"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1304237,"Tonantins",11.5,10.6,13.5,25.1,45.5,32.7,25.1,21.3,21.5,29.2,40
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1304260,"Uarini",8.2,7.8,11,15.2,14.2,13.7,13.4,10.4,15.8,12.8,11.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1304302,"Urucará",4.1,3.7,6,7.8,11.7,11.2,11,13.5,15.3,13.5,12.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Amazonas",1304401,"Urucurituba",4.8,5.1,3.3,4.9,4.8,4.8,5.8,23.2,24.7,32.9,42.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Roraima",1400027,"Amajari",2.8,6.8,6.9,9.9,9.1,6.5,10.4,10.7,11.6,12.8,13.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Roraima",1400050,"Alto Alegre",6,5.1,4.4,4,0.6,11.5,15.1,14,13.2,8.7,5.8
"Educação","TX_INEP_CRECHE_0_3_MUN","Roraima",1400100,"Boa Vista",6.3,9.6,9.7,10.9,14.7,13,13.6,14.7,14.1,14.1,14.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Roraima",1400159,"Bonfim",0,0,0,0,0,0,0.1,0.1,2,5.9,7
"Educação","TX_INEP_CRECHE_0_3_MUN","Roraima",1400175,"Cantá",12.4,12.6,8.1,7.9,7.7,7.7,6.6,8.7,5.1,3.6,2
"Educação","TX_INEP_CRECHE_0_3_MUN","Roraima",1400209,"Caracaraí",12.4,14.8,13.3,13.9,12.3,18.4,20.8,20.2,23.5,29.1,48.5
"Educação","TX_INEP_CRECHE_0_3_MUN","Roraima",1400233,"Caroebe",21,14.6,20.1,18.9,27.4,25.9,24.9,27.4,20.8,21.3,30.6
"Educação","TX_INEP_CRECHE_0_3_MUN","Roraima",1400282,"Iracema",17.3,36.4,18.3,20.8,20.4,20.1,13.7,22.2,21.2,19.2,19.2
"Educação","TX_INEP_CRECHE_0_3_MUN","Roraima",1400308,"Mucajaí",13.6,15.3,12,9,12,16.5,16.2,19.7,22.5,25.5,27.4
"Educação","TX_INEP_CRECHE_0_3_MUN","Roraima",1400407,"Normandia",10.4,8,8.1,19.4,28.7,35,27.4,38.6,34.3,41.9,26.8
"Educação","TX_INEP_CRECHE_0_3_MUN","Roraima",1400456,"Pacaraima",11.9,9,9.3,5.2,5.6,6.3,6.4,12.2,11.7,20.8,24.4
"Educação","TX_INEP_CRECHE_0_3_MUN","Roraima",1400472,"Rorainópolis",15.4,10.1,15.1,16.1,19.1,20.3,21.4,25.1,32.7,37.4,100
"Educação","TX_INEP_CRECHE_0_3_MUN","Roraima",1400506,"São João da Baliza",8.3,10,8,8,10,22.5,20.3,32.1,38,32.1,65.9
"Educação","TX_INEP_CRECHE_0_3_MUN","Roraima",1400605,"São Luiz",0,0,0,0,0,0,0,27.8,48.1,63.6,100
"Educação","TX_INEP_CRECHE_0_3_MUN","Roraima",1400704,"Uiramutã",0,0,0,0,0,0.2,0,0,0.1,0,1.6
"Educação","TX_INEP_CRECHE_0_3_MUN","Pará",1500107,"Abaetetuba",2.3,4.3,6.7,7.8,10.3,16,19.5,22.7,25.1,20.2,21.8
"Educação","TX_INEP_CRECHE_0_3_MUN","Pará",1500131,"Abel Figueiredo",17.3,21.1,20.9,17.5,16.5,17.4,19.2,22.5,16.4,22.2,23.1
